exp_id,name,phase,parent,changed,model_type,zone_rank,square_id,val_mae,val_mae_std,val_rmse,val_rmse_std,val_rel_mae,n,compare_group,status,post_test,duration_s
EXP-001,lag144,dev,,,naive,1,5259,503.76367624195467,,897.5232988432856,,1.0,576.0,e9ffdf9f,completed,False,1.937
EXP-002,lag1,dev,EXP-001,naive.lag,naive,1,5259,101.44073422912852,,151.32265150295416,,0.20136571772278228,576.0,e9ffdf9f,completed,False,1.375
EXP-003,arima-212,dev,EXP-001,model.type,arima,1,5259,94.1631016308392,,137.03037244682685,,0.18691919658298908,576.0,e9ffdf9f,completed,False,1.812
EXP-004,arima-seasonal-diff144,dev,EXP-003,arima.seasonal,arima,1,5259,142.41725278479544,,199.1958793179856,,0.2827064742881408,576.0,e9ffdf9f,completed,False,1.579
EXP-005,arima-seasonal-fourier,dev,EXP-003,arima.seasonal,arima,1,5259,105.89791602867716,,143.65434652730812,,0.21021348108833282,576.0,e9ffdf9f,completed,False,0.5
EXP-006,arima-202-diff144,dev,EXP-004,arima.order,arima,1,5259,142.38309258098758,,199.64531468870473,,0.28263866431013146,576.0,e9ffdf9f,completed,False,1.813
EXP-007,arima-order-1-1-1,dev,EXP-003,arima.order,arima,1,5259,98.36297608170872,,146.1300592787931,,0.1952561899966475,576.0,e9ffdf9f,completed,False,1.641
EXP-008,arima-order-3-1-3,dev,EXP-003,arima.order,arima,1,5259,95.12712933017868,,138.2603897897644,,0.18883284725850238,576.0,e9ffdf9f,completed,False,0.453
EXP-009,arima-order-5-1-5,dev,EXP-003,arima.order,arima,1,5259,93.81559805622197,,136.94716904891888,,0.18622938191193225,576.0,e9ffdf9f,completed,False,2.219
EXP-010,lstm-init,dev,EXP-001,model.type,lstm,1,5259,107.43689712572728,1.6576206668086488,150.2998721226031,2.270003646239063,0.2132684474736245,576.0,e9ffdf9f,completed,False,48.422
EXP-011,lstm-epochs100,dev,EXP-010,lstm.max_epochs,lstm,1,5259,103.01236914291748,2.331046797052997,145.67390129120426,3.0377540380640355,0.20448550382072656,576.0,e9ffdf9f,completed,False,62.657
EXP-012,lstm-window24,dev,EXP-011,lstm.window,lstm,1,5259,114.12151180970504,4.481961816603631,157.92423468193869,5.928159800294444,0.22653779379459102,576.0,e9ffdf9f,completed,False,10.203
EXP-013,full-lag144,full,,,naive,1,5161,294.8942311530666,,525.4934974115058,,1.0,1008.0,aeb67261,completed,False,5.937
EXP-014,full-lag1,full,EXP-013,naive.lag,naive,1,5161,116.83332107233652,,175.19060983686745,,0.39618720452925205,1008.0,aeb67261,completed,False,1.406
EXP-015,full-arima-515,full,EXP-009,phase,arima,1,5161,,,,,,,,failed,False,14.016
EXP-016,full-lstm-init-e100,full,EXP-011,phase,lstm,1,5161,110.83434466842736,3.9509786490305765,160.0431950982834,3.1560992908564316,0.3758443976169142,1008.0,aeb67261,completed,False,117.656
EXP-017,full-arima-212,full,EXP-003,phase,arima,1,5161,109.54776490055355,,164.56718185636967,,0.3714815460180777,1008.0,aeb67261,completed,False,2.234
